id,titulo,autor,siglo,tokens_utiles
29,Soneto de penitencia,Diego Ramírez Pagan,15-17,cuerpo esta vicios abrevado profundo paso detenido aguas mis culpas han crecido hasta alma mia han entrado si pie pruebo salir no hallo vado si vuelo han alas derretido queda mi deshonra mi apellido como icaro golfo senalado si quiero bracear soy ignorante nadar pues todo falto bonanza tristes navegan tu mano poderosa alto enviala senor instante me libra estas aguas me anegan
30,Soneto,Diego Vélez de Guevara,15-17,ora fiel cosecha lisis grata tierra corresponda aldeano labrador ora leche pierda grano piedra mieses desbarata mar tranquilo ya indica plata salvamento llegue puerto hispano ya parte trague oceano parte roba albion pirata no siento ni anhelo fatales destinos estorbar dar viento dios votos voces desiguales no porque yo mal tenga contento porque curso seguir tus males no me deja lugar sentimiento
31,Soneto,Francisco de Olaegui,15-17,llega javier cielo ya gigante lama cuerpo augusta frente quien cuanta esfera arde luciente estrella cenira bello diamante medio orbe macedon basto arrogante todo mundo javier no suficiente pues si llamarse grande aquel no miente renombre javier sera bastante siempre aspiro ser aliento no hallando ser ya ha excedido si mismo javier siempre portento cuanto otros heroes fueron no ha podido eternizarlos tu ardimiento le sobra mitad ha sido
32,Soneto,Francisco de Figueroa,15-17,gasto mis pasos mis tristes dias tras deseo loco enganoso sostiene vivir dificultoso vanas esperanzas alegrias encontrado mi dano mil vias ser abierta senda mi reposo doquier vuelvo rostro lastimoso hay campo lleno miserias mias miseria sera todo desventura hasta ejecute postrera cansados anos mi vida pagara pensamiento locura morira deseo cuando muera alma vivienda aborrecida
33,Soneto,Gregorio Silvestre,15-17,esto dios amor ya no vales damas dicen obras son amores ya no quieren gracia ni primores sino buenas preseas primores rindieronse amor tres metales oro plata tiran mayores tiran cobre menores todas ellas son interesales bien puede acometerse recelo hermoso tiro moneda pura mujer suelo cuando algun resabio ellas queda arpon raso terciopelo torna amor blanda seda
34,Soneto,Gregorio Silvestre,15-17,oro fino son vuestros cabellos senora cristal blanca frente ojos son dos soles oriente mismo amor amor matais ellos quiere amor haga pausa ellos no hay pasar alli ni consiente cada parte voz tan excelente son dignos ser quien son ellos cuanto bueno cielo aca reparte tendra quien ver supiere vuestro gesto mil anos alabar cada cosa cien mil gracias teneis cada parte hacen todas ellas compuesto no hermosura tan hermosa
35,¿De qué sirve querer un imposible?,Leonor de la Cueva y Silva,15-17,basta amor rigor me has muerto cese poco rapaz tu ardiente fuego pues ya alma senorio entrego ojos no dueno cierto bien anoro tan incierto no pasa vista sentir llego tu fuerza manera me anego mil mares amar hallar puerto rino veces mis libres ojos respeto han mirado detengo castigarlos posible viendo padezco estos enojos digo entre mi mi pecho enamorado sirve querer imposible
36,Soneto,Miguel Beneyto,15-17,ya me canso senora cansarte asi procurare seguir tu gusto pues requiere razon justo nadie persevere enfadarte no quiero algunas cosas acordarte son mi provecho tu disgusto porque diras caso injusto querer tal camino granjearte fin senora porque no te asombre mi vista ni te cause algun despecho te juro dejar patria nombre pues banando lagrimas pecho borrare ser tuyo aquel renombre quedando tu gusto satisfecho
37,Soneto,Francisco de Figueroa,15-17,hierbas floridas verdes deleitosas blanco pie sois oprimidas aquella bulto recogidas tiene todas gracias preciosas dichosas sombras suaves amorosas tan gratas roba mil vidas aire fino oro desparcidas hebras traes revueltas rosas claras frescas fuentes cristalinas banar vos blancas manos os quiso hacer mi filis tanto dignas cuando sintais pasos soberanos direisle si mis ojos son benignas no me sean suyos tan tiranos
38,De Los hermanos amantes y piedad por fuerza – Jornada primera - Margarita,Fernando de Zarate,15-17,vos me aparto honor tal mudanza alegre mi mal mi infamia siento me servira tener contento si ha perder quien alcanza quiteme amor bien esperanza si van mis desdichas aumento fuerza ha dejarle mi tormento memoria ser cansa viviendo memoria ha matarme quitarme esperanza darme muerte leno mar proceloso voy vengo quiero mis males consolarme tengo esperanza no pues suerte me ha quitar amor no tengo
