id,titulo,autor,siglo,tokens_utiles
140,Soneto,Baltasar de Estazo,15-17,quiso eterno padre poderos dar loor cuanto quiso daros pueda pensamiento imaginaros no pueda lengua engrandeceros fuera perfecto bien conoceros si conociendoos yo supiera amaros porque pudiera amando contemplaros contemplando pudiera comprenderos solo dios vuestro hijo conociendo vuestro alto ser divino puede amando contemplaros fin comprendiendo este solo os alabe va subiendo porque solo llegar puede alabando vos llegar pudiste mereciendo
141,A las ruinas de Itálica,Juan de Arguijo,15-17,esta rubia ceres consagrada parte fecunda madre tierra sustento comun orbe encierra tanta espiga prenez dorada ciudad comercio dedicada quietud verdad destierra duro despues teatro guerra toda sangre dejo banada primitivo asunto restaurado gracias rinde fruto repetido circular precepto meses tambien siendole tiempo agradecido no hierro hiera arado no peso oprima mieses
142,Soneto,Alonso de Bayona,15-17,pudo rendirse cruel dolencia majestad cedro pomposo tan bien buscan triunfo glorioso rayos dolor eminencia cesen lamentos ya pues violencia solo amago trueno escandaloso porque topo golpe furioso laurel augusto resistencia pudo morir resistiose altiva nunca riesgo valor ablande mariana siempre inmortal viva no golpe desmande grande luego ser derriba encuentre luego grande
143,- XIII -,Juan de Arguijo,15-17,bana llorando ofendido lecho colatino consorte amada tirana fuerza disculpada si no voluntad castiga hecho rompe hierro agudo casto pecho abre camino alma indignada baja oscura sombra do vengada aun duda si ofensa ha satisfecho vencio paterno llanto endurecida esposo ruego no basta menosprecio mortal desvio ceda debido honor dulce vida no bien dijo otra casta ose vivir ejemplo mio
144,Soneto,Juan Bautista de Mesa,15-17,dormia prado mi pastora hermosa torno ella erraba entre flores otra usurpando licores abejuela yo dichosa vio labios donde amor reposa quien alba envidia colores vuelo refrenando errores enganada muerde como rosa oh venturoso error discreto engano oh temeraria abeja pues tocaste donde aun imaginarlo no me atrevo si has sentido envidia triste dano parte conmigo nectar robaste te debere amor no debo
145,"A la muerte del doctor Juan Pérez de Montalbán, laureado poeta de esta coronada villa de Madrid",Diego de Sepúlveda,15-17,murio albanio ay dolor yace trofeo dio manzanares tanta gloria ingenio pluma memoria tragico asunto funebre empleo falto docta lira dulce orfeo no dudes mortal transitoria cuanta celebra temporal historia toda humana dicha devaneo tu gloriosa feliz suerte libre emulacion libre enganos gozas asi creo inmortal vida gran remedio mia hoy tu muerte quiera dios tantos desenganos logre ya tu ejemplo me convida
146,Al mismo tema,Damián Ruiz de Silva,15-17,baja puro cristal puro hielo lluvia tierra torbellino ondoso corazon dia sol hermoso enjuga llanto ha llorado cielo cuando niebla exhala vitrio velo uno otro vapor caliginoso nube pavimento luminoso sino le empana le opone velo pues si aqui luminar tanto elemento le perturba tan solo accidente impreso vapor lleva viento mucho montalban tanto ardiente idea humano entendimiento movil pierda firme asiento
147,Soneto,Luis Martín de la Plaza,15-17,dafne suelto cabello espalda cuyas hebras tremola fresco viento huye ligera pensamiento aun no huella hierba esmeralda tine cara color gualda cuando oye cerca enemigo aliento dios forma celos contento goza viento alzandole falda viendo corre vuela no alcanza le grita ninfa hermosa pues te adoro detente aguarda mira bien pierdes secasele verde esperanza cuando mira crespas hebras oro laurel trasformarse hojas verdes
148,Eróticas – - I -,Esteban Manuel de Villegas,15-17,ves instabilidad nuestra vida llorar triste reir suave ves facilidad muestra ave redimir libertad perdida ves espuma mar blanca crecida desgajarse torrente grave ves pe ves agua ves nave pues todos son retratos tuyos lyda fuiste mujer todas tus acciones ti no espero tal desvario ya llora suyo porque fin eres vosotras ois estas razones vida ave espuma pez agua navio perdonad si os comparo mujeres
149,Soneto,Fermín de la Puente y APechea,15-17,triunfo dios barbaro victoria gracia preservadora luz clemencia maria hombres descendencia mancha humanal escoria concebida ante tiempo memoria ti agosto senor omnipotencia tu eres creacion excelencia tu redencion mejor gloria tanto sombra pecar te espanta primero dejaras no vencida madre dios tu igual fortuna luna dragon son tu planta yazga soberbia mi vida mi instable voluntad esa luna
150,Soneto,Luis Martín de la Plaza,15-17,cuando dulce olvido me convida noche faldas me adormece entre sueno imagen me aparece aquella sueno esta vida yo temor desden impida brazos tiendo gusto me ofrece ella sombra fin desvanece abrazo aire donde esta escondida asi burlando digo ah falso engano aquella ingrata mi mal procura tente aguarda lisonja tormento ella tanto entre noche oscura huye corro tras ella oh caso extrano pretendo alcanzar pues sigo viento
151,Soneto,Juan de Jauregui,15-17,dame penasco sisifo cansado tu infelice tantalo tu pena dame prometeo aguila cadena herido pecho caucaso atado dame ixion rueda amarrado eterno giro cielo te condena llevad todos miseria ajena corazon celos abrasado aliviareis peso mi tormento mientras trueco desigual porfia fuere vuestra paciencia poderosa cuando alguno falte sufrimiento no juzgara despues tan rigurosa pena suya experto mia
152,Soneto,Antonio Hurtado de Mendoza,15-17,amar quiero premio nunca puedo amar premio padecer querria dolor tanto agrada alma mia este gusto escrupuloso quedo apetezco morir denuedo hallo nueva razon cobardia huyo mal toma osadia parte vivir voz miedo si vivo mi dolor desacredito si muero amo alma condena uno comodidad otro delito oh novedad desdicha ajena vida mal infinito no baste morir pena
153,"En agradecimiento al vejamen, que al graduarle le ",Fray Juan Félix Girón,15-17,graduando rector soberano sagrado colegio doctores les entrego titulos mejores sal luz ciudad tanta mano sal deshiciera no vano sino haciendo saber mil sabores luz diese eficaces resplandores ciudad descubra todo llano asi s esparce igual luce encumbra claustro sevillano tal retrata antorcha farol luces iguales salga pues luz esta alumbra aun burlas cuando desata reparte luces descubre sales
154,Al mismo tema,Francisco Benavides Manrique,15-17,fin espana si preciso fuera fama tuya superara yo defendiera entonces yo afirmara tu fama tu fama excediera aquella pues sofistica pudiera igualarte vencerte si hallara quien no desmintiera cara cara todo tiempo vez desmintiera si vulgo profesa ignorante siente otra cosa como vulgo siente mentira adelante igual atencion eternamente tendra tu fama constante siempre volara gente gente
155,"En una estatua del rey Filipo III, esculpida por i",Juan de Jauregui,15-17,lisipo solas trasunto vero pudo esculpir macedonio marte do reguladas fuerzas arte escultor igual guerrero pues tu agora juntas marte ibero mundo antiguo tu segunda parte bien debe quien intenta figurarte sobrar industria buril primero como alejandro soberano reino te aumenta cielo gran filipo asi te da escultor suyo eccede ya ves docta labor tosca mano oscureciendo arte lisipo tu espiritu infundir marmol puede
156,Sonetos – - II -,Rodrigo de Carvajal y Robles,15-17,ya no culpo amor porque no parte ya deshelar tu pecho frio porque todo fuego esta mio mi fuego no aspira deshelarte antes si me pides parte amarte matar tu desvio no te ha dar ninguna mi albedrio no perder ninguna adorarte pues obstinacion mi firmeza tu sequedad no busca medio busca fiereza tu matarme desvio sequedad fiereza bien contradigas mi remedio pues yo mismo no aspiro remediarme
157,A la muerte de don Anastasio Pantaleón de Ribera,Juan de Vidarte,15-17,oscura noche bana claro dia confusa noche caos terreno todo escucho gemidos lleno cuanto alberga ti orbe cuanto cria gran orfandad poesia dolor tenga fuerza veneno pues murio cisne este rio ameno solo cuando vivia nueva impresion miro brillante guirnalda ariadna corona lira estrellas instrumento si mi anastasio errante planeta dulzura le aprisiona si da astros fijos movimiento
158,"A la muerte de doña María de Herrera, dama hermosísima de Alcalá",Anastasio Pantaleón de Ribera,15-17,debajo huesped esta losa fria no feudo no violencia si temprana muerte segur villana deidad vivio yace maria privilegio cede fatal dia caduca beldad soberana ser solo mortal tuvo humana cuando juventud mejor vivia suspenda pie tu justa reverencia huesped cuando cielo reposo traslada beldad heroicamente estorbo te admire presencia ese porfido ya religioso aun hermosa quietud sagrado miente
159,"Al nacimiento del señor Marqués de Villalba, su hijo del señor Duque de Feria, y de mi señora doña Isabel de Córdoba, hija del Duque de César",Carlos Boyl,15-17,cesarina excelsa hermosa luna sol feria amando nuptio asiento alma rayos movimiento entre llamas luz puso cuna diole estado naciendo fortuna mercurio marte letras ardimiento apolo iove raro entendimiento don otros columna cielo remate bienes esta alba suya venturosa envia nacer valencia le hizo salva oh suceso ser unico vienes pues vio valencia alba medio dia naciendo marques bello villalba
160,Soneto,Alonso de Salas Barbadillo,15-17,trasladas latino elocuencia ximenez docto espanol divino cultas frases latino as reducido arte excelencia sagrado farol tu prudencia ensena mortales camino tan facil cuanto raro peregrino llegar puerto ciencia pues justo intento te llama mostrar lenguas saben alto estilo hablar ofreces divinas lenguas fama ensenalas tambien porque alaben sabran alabarte cual mereces
161,En alabanza del doctor Juan Pérez de Montalbán,Juan Ramírez Vela,15-17,canoro influjo apolineo acento tan deidad lira le inspira ya constelacion lira primera causa instrumento espanol apolo portento feliz dulce otra lira cuantos gira aquella paralelos esta admira discurso inteligencia movimiento vega monte si bien forma difieren no magnitud no eclipticas doradas porque siendo voz plectro suma muertos vivifican pues adquieren mirar muriendo sol fijadas lope lira montalban pluma
162,Al mismo tema,Juan Valle de Velasco,15-17,quien duda sacase tracio orfeo cara esposa infierno oscuro tierno llanto tormento duro movio furias paro leteo oiga voz este espanol museo vera hace canto puro pues trueca febo voz seguro gobierno razon museo ya blancos cisnes solian cantar sabio dios son reprobados voces bajas roncas confusas moscas ama ya musas fian ellas solas secretos reservados moscas son cisnes musas
163,Soneto,Francisco de Figueroa,15-17,como me viese amor desnudo tierno temblando triste va buscando dia donde escaparse nieve fria hielo mitigar recio invierno como vido resplandor eterno hermosa fili alli via lumbre debe haber aqui decia entrando busca dolor gobierno toco seno nino diole enojos estaba frio nieve seno corazon piedra mal le trata huyo corazon fuese ojos como vio lugar tan dulce bueno alli quiso vivir alli mata
164,Soñé que una piedra me arrojaba,Francisco de Terrazas,15-17,sone piedra me arrojaba quien mi querer sujeto asi tenia casi ya boca me cogia fiera abajo me esperaba yo temor buscando procuraba donde manos me tendria filo espada asia hierbezuela otra hincaba yerba andar iba arrancando espada mi mano deshaciendo yo filos vivos apretando oh misero mi mal me entiendo pues huelgo verme estar despedazado miedo acabar mi mal muriendo
165,Buena suerte de día,Diego Ramírez Pagan,15-17,noches dormir paso esperando levante hermosa aurora venido dia me antoja hora vuela saber como cuando sol detenga estoy rogando luz camine paso ahora pues esta mis ojos ya no mora conmigo si tuya va cesando oh vista bella quien tus razones gozar siempre pudiese dulzura avieneme mi como dormido si suena tesoro son carbones si ardiente sol tiniebla oscura alegria llanto entristecido
166,A fray Pedro de Padilla por su Tesoro de poesías publicado en 1587,Ruiz López de Zúñiga,15-17,segundo apolo venir postrero primero ser ingenio levantado segundo mundo celebrado mundo conocido primero contra tiempo vario ligero fama escriba tu blason sagrado templo e inmortal nombre fijado tinta oro papel acero deja fama escribir tal suma pues no puede sumar tanta grandeza cual padilla encierra cielo furor divino destreza contra suerte este fragil suelo le ha inmortalizar inmortal pluma
167,Soneto,Fray Antonio Gual,15-17,contra luzbel tu valor medroso pruebas apenas acero santo honor cielo infierno espanto nuevo marte ignacio valeroso dulce cuando paz gozas dichoso divina luz bebiendo sacrosanto sumo bien asomo febo tanto forma siete circulos lustroso nuevo favor quien no admira verte batalla senal primera debida vencedor gozar gloria si embestir te premia esta suerte dinos tu pisas ya esfera cielo te dio victoria
168,A Lope de Vega Carpio,Pedro Fernández Marañón,15-17,numero dulzura milagrosa suave estilo erudicion seso tiene lope vega exceso cuantos escriben verso prosa natural numen copiosa vena cual caracter sacro impreso sabroso lirico peso epico poema grave cosa tiene eleccion dispone solo ve sumo otra parte ciencia natural tal grandeza puede dudar este apolo si naturaleza vence arte vence arte naturaleza
169,Al Marqués de Priego,Pedro Fernández Marañón,15-17,dadle senor alas plumas delas aguilas vuestras ha sido aguila cisne conocido delo delfos anfiso cumas canopo heladas brumas adusto etiope tenido todo mar ancho extendido empina montes sacude espumas dadle senor plumas alas vuele peligro sitio icaro cuerdo ligero envidiarale tritonia palas conoceranle apolo pythio vos alejandro este homero
170,Juan de Castellanos,Cristóbal de León,15-17,si pudiera llegar mi flaco vuelo adonde tuyo te abalanzas tuvieras castellanos alabanzas tan altas subieran hasta cielo supla falta ellas este celo tuvo levantadas esperanzas cuando pense tales confianzas volar terminos suelo ya no puedo me contento hacer mi parte posible admirarme tu cabal historia fabricas eterno monumento verso terso dulce apacible digno cierto inmortal historia
171,Soneto,Fray Bernardo de Cárdenas,15-17,ensilla sancho amigo rocinante dame lanza yelmo mambrino acomoda alforja pollino balsamo precioso pon delante pues dios me hizo caballero andante hoy desfacer tuerto determino face doncella malandrino jayan desaforado cruel gigante dice esclava esta doncella miente pues yo cuanto dice ella gentil deshizo cabeza mi me toca sancho defendella yo soy caballero voto hice defender virginal pureza subio ligereza tomando yelmo escudo lanza le siguio escudero sancho panza
172,Al célebre y aplaudido en el orbe doctor don Juan Pérez de Montalbán,Tomás de Villarín,15-17,yace aquella losa sepultado doctor montalban peregrino tan ilustre ingenio tan divino nombre deten paso apresurado bien tiene corazon obstinado este marmol ves ti vecino quien no siente muerte previno tiempo accidente acelerado si naciones remotas vive fama alma eternizada entre celebres musas tiene gloria tu letras esculpidas notas vez incienso casia regalada consagra mar llanto memoria
173,Soneto,Diego Ramírez Pagan,15-17,dardanio cuento cayado nombre figura deshacia aquella ninfa quien mismo habia mil cortezas arboles cortado rostro triste demudado ay alma le salia oh perversa marfira le decia quien puse mi fe seso cuidado si pudiese alma tu retrato quitar cual arboles le quito no harias mi vida ser tan corta ay cuan demas triste me mato esta corazon escrito borrarlo corteza poco importa
174,Soneto,Miguel de la Vena,15-17,mueres heroe glorioso pobre lecho patente cielo noble llama corazon amante tanto inflama respirar no puede menor trecho mirar parca cruel despecho entre asombros suspenso mundo clama como mueres javier cuando fama vive alientos tu pecho si fin orbe estas como imagina tu ardor no ha empezado carrera como mueres vista china ansias tu fe amor espera tu luz hallo precisa ruina ver no gozar tu amante esfera
175,Soneto,Francisco de Terrazas,15-17,dejad hebras oro ensortijado anima me tienen enlazada volved nieve no pisada blanco esas rosas matizado dejad perlas coral preciado esa boca esta tan adornada cielo quien sois tan envidiada volved soles le habeis robado gracia discrecion muestra ha sido gran saber celestial maestro volvedselo angelica natura todo aquesto asi restituido vereis os queda propio vuestro ser aspera cruel ingrata dura
176,"Soneto en el libro de Baltasar Gracián, Agudeza y arte de ingenio",Alonso de Salas Barbadillo,15-17,cumbre santidad monte sagrado cielo nos ensena encamina tan senalado santidad divina mismo dios vos senalado indice aquel libro celebrado verdad virtud inclina mano corriste cortina sumo dios cubierto disfrazado le mostrais varon famoso pueblo despues tiranamente ha ser sangre carnicero encoged vuestro dedo milagroso advertir mostradle aquesta gente mostrar lobos cordero
177,A Joseph de Villaviciosa,Juan Valle de Velasco,15-17,muda mueve abre cuerpo pie pluma pez animal pajaro no tanto nada camina vuela joseph cuanto nada camina vuela tu honra suma triton ni pardo ni aguila presuma nadar correr volar como tu canto pone agua tierra aire espanto escama piel alas suma nada corre vuela pasa tus versos nombre gran fama tiene brazos pies alas cuento ni pena monte nube pone tasa mover mudar abrir llama rio mar pozo suelo bajo viento
178,Los quince misterios del Rosario,Andrés Rey de Artieda,15-17,cuando maria angel saluda ella visita elisabet prima cuando pare cielo mundo anima cuando ordena dios templo acuda cuando cristo huerto sangre suda azote corona le lastima cuando sagrado leno echa encima pasa muerte tan acerba cruda cuando triunfo gloria resucita sube cielos iglesia santa espiritu santo visita cuando llama maria sacrosanta corona aplauso grita siempre fin iglesia canta
179,"Soneto a la venida del ilustrísimo y excelentísimo señor Duque de Feria, virrey y capitán general en esta ciudad y reino de Valencia",Carlos Boyl,15-17,sol feria envuelto ferias vino delas grandezas insigne estado quien trae obligado contar feria contino segun le va feria me imagino habla deseo obligo feriado asi mi obligacion feria he dado loas dueno desta feria dino tienda esta feria venido mayor atributo suelo presto fama hallar materia quien voz bien agradecido ferias amor puso cielo tienda alegre le dio esta feria
180,A los celos,Anastasio Pantaleón de Ribera,15-17,ah amor sagrada monarquia cuanto fuera tu yugo sabroso si celos dolor forzoso supiera resistirse alma mia no inmortal resiste valentia alma no rigor tan poderoso afan le impone eterno reposo celos infame tirania cual inmortalidad esta segura furor celos si atreve ser aun almas homicida no tan grave ofensa no tan dura tosigo secreto labio bebe pues muere sola rigor vida
181,A la muerte del doctor Juan Pérez de Montalbán,Juan de Vidarte,15-17,vive feliz patria dichosa porcion preciosa mi triste vida no puede no llamar perdida vida mortal troco gloriosa si tu muerte mi llorosa toda esta pena mi memoria olvida pues tu vives mi tu partida tu vida mi vivir forzosa si antes dos vidas dulcemente viviste ya tres vivir te miro logrando lauro tu docta frente adquirida tu pluma admiro gloriosa gozas eminente esta mortal ti suspiro
182,La virtud a la envidia,Juan de Jauregui,15-17,juez enormes culpas no corriges virtud condenas aborreces tu ajena dicha te entristeces dano ajeno alivio eliges envidia traidoras armas riges tu pesar si animo embraveces envidiado honoras engrandeces envidioso ahinco afliges hacer podras tu veneno empleo turbando pecho mis obras culpa mi no alberga tu fuego indicio otra mayor venganza no deseo me envidia propia culpa donde castigo si mesmo vicio
183,"A la muerte del doctor Juan Pérez de Montalbán, insigne ingenio de España",Francisco Benavides Manrique,15-17,vive oh grande varona mayor fama te sepa querer musa mia vive tu ceniza aun no bien fria aliento induce repetida llama desprecio luz sol derrama te presta ardientes mientras forma dia como fenix atropos te fia tu nuevo vivir laquesis trama oh tu siempre feliz pues no incierto te fomenta apolo como ave aquella antes leve ceniza oh tu siempre feliz pues aun no has muerto cuando empezando vida suave tu muerte tu vida eterniza
184,"Al sol, amaneciendo",Juan de Jauregui,15-17,rubio planeta cuya lumbre pura tiempo mide cada punto hora si bello objeto mi pecho adora solo le gozo entre noche oscura ya adelanta apresura tu luz injusta oriente dora sombras alejando aurora sombras mi feliz ventura diras dulce espacio defraudado ya noche me daras dia tal vida punto no me debas si debes causa ausencia mia vida solo tiempo me llevas me ofreces mortal cuidado
185,Soneto,Antonio Hurtado de Mendoza,15-17,amable soledad muda alegria ni escarmiento ves ni ofensas llora segunda habitacion auroras verdad primera compania tarde buscaba paz alma mia vana inquietud mundo ignoras donde no ambicion hurta horas entero nace hombre dia dichosa tu nunca das venganza ni palacio ves propio dano ofendida verdad mudanza sabrosa mentira engano dulce enfermedad esperanza pesada salud desengano
186,Lamento de Ariadna,Luis Martín de la Plaza,15-17,vela traicion viento llena vista cansada deseo sigue ariadna traidor teseo playa llanto suena hebras oro piedad ajena injuria deja dorado empleo aire rico azul nereo perlas llorando da arena vuelve ingrato le dice engano honor me quitas no le aumentes soledad estos penascos frios triste yo esfuerzo propio dano pues te dan mi te ausentes viento popa suspiros mios
187,A la Concepción de Nuestra Señora,Fermín de la Puente y APechea,15-17,luz oh senor porque tu hablaste tierra mar firmamento solo tu querer mundos cuento brotaran como mundo creaste solo formar hombre trabajaste manos poniendo ello pensamiento alma hiciste soplo tu aliento lodo vil maravilloso engaste ah si tanto porque tu idea vio medio tiempo aqui mundo tu verbo hijo hombre hombre seria crear madre decir sea cual formaste oh mi dios yo me confundo concepcion divina maria
188,Soneto,Luis Martín de la Plaza,15-17,oh mi cefiro estimado humedo noto tu sol cielo negros toldos pardo velo cubres rostro azul crin dorado asi nunca jamas cierzo airado barriendo nubes arrojando hielo te quite manto te ahuyente vuelo espesas lluvias mar hinchado sondas levantes alboroto aquella nave quien mi bien navega traiga puerto tu animoso aliento oye mi justo ruego fresco noto ay fruto aguarda quien le entrega lagrimas mar ruego viento
189,Soneto,Bartolomé Sánchez,15-17,habeis echado sello nuestra ciencia tal sublime obra buen silvano diciendo ilustre altamirano valor cristiandad paciencia infalible verdad pendencia ramos tuvo luterano vengo pastor poderosa mano dandonos entender omnipotencia humilde levanta le da loa soberbio arrogante echa tierra estilo senor ordinario recibe mi mano buen balboa este soneto criollo tierra senal soy tributario
190,Soneto,Matías Juan Beana,15-17,sentimiento cielo tan extrano descubro este bulto peregrino aquel rio tabor luz divino navarra sangriento bano si cada fuente vierte cano licor precioso cielo vino segunda vez redime amor fino mundo todo rindio engano ay afan le hiere distante indio javier dios padece correspondido dolor profundo siendo javier amante si orbe coral ofrece le vierte javier pesa mundo
191,"Enójase el autor con una dama, que el enamorarla fue causa de que hiciera versos",Alberto Díez,15-17,mujer no pide apasionado tus partes estuve rendido viendo celebrabas entendido procure escribirse cuidado halleme tu discurso enamorado disculpas atrevido mi amor codicioso te ha metido poeta ser licenciado pidierasme dinero hermosa anarda no hacerme caer tan perversos delitos no hay forma me cobre no he verte mi vida guarda guarda pues eres causa haga versos pedirme ni darte me haces pobre
192,A la Carolea,Jerónimo Sempere,15-17,delfico laurel corona augusta majestad emperadores premio poetas moradores aquel virgineo fertil helicona entrambos sacra ha sido persona uno otro da eternos favores cesar sujeto escritores escritor cesares pregona aqui poeta celebre perfecto tal modo hace eterna memoria cesar carlo rey espanas carlo mil poetas dio subjeto mil emperadores diera gloria quien canta aqui inclitas hazanas
193,- XI -,Juan de Arguijo,15-17,presenta ufano cesar victorioso tirano menfis inclemente temida cabeza oriente tuvo son armas temeroso no pudo dar corazon piadoso enjutos ojos ni serena frente don funesto gimio impaciente tal crueldad repitio lloroso tu gran pompeyo fatal caida seras ejemplo humana gloria cierto aviso fin incierto cuanto debe tu virtud crecida cuan costoso tu muerte mi victoria vivo te aborreci te lloro muerto
194,Soneto,Francisco Bueno,15-17,cuando cruz interior javier penaba cristo ansioso tambien sangre vertia tan cerca divino parecia venas cruz equivocaba tanto corazon crucificaba dolor merito queria explicarse cruento no podia porque sangre merito no hallaba este padecer exquisito pues ansias tormento llenas limito merecer ser finito cruz no bastando humanas venas merito llegue infinito puso sangre dios javier penas
195,Soneto,Juan de Arguijo,15-17,ciega oscuridad horror cubierta esta tierra tanto hermano silvestre diosa sale ufano rojo oriente eburnea puerta ante ojos ve muerte cierta piloto pielago inhumano dando viento deseos mano vida trueca esperanza muerta tras importuna guerra consigue dichosos anos paz segura tu pues medio tus males fia fin cosa cierta sigue tras tormenta guerra noche oscura buen tiempo dulce paz alegre dia
196,Soneto,Francisco del Campo,15-17,siente pesar marmol aliento otra vez javier amante espira alma estatua arte inspira segunda vez le roba sentimiento cuanto javier pesa tormento pues marmol sudarse mira no herira pena respira si dios castillo no esta exento padece cristo ver javier pena muerto viva sangre si vierte ya faz luz siempre serena fatales eclipses convierte cuanto cerca hara pena inmortal lejos da muerte
197,- LIV -,Juan de Arguijo,15-17,labra artemisa grande mausoleo altos piramides afrenta egipcio soberbio no contenta busca ilustre fe mayor trofeo tierno casto pecho nuevo empleo hacer sepulcro muerto esposo intenta cuyas cenizas amor sedienta bebe ansias inmortal deseo mal podra dice enemiga muerte ti dulce mauseolo dividirme ni largo olvido sepultar tu gloria injuria basta defenderme mi pecho bronce marmol firme eternizar mi amor memoria
198,Soneto,Joseph Miralles,15-17,basta glorias basta favores penas tormentos basta alegrias contentos aflicciones rigores basta dulces amor primores rigor abatimiento basta favor conocimientos afan dolores ser no querer premios importuno desconocerse si conocerse consuelos no querer ninguno otro no si compadecerse mundo estas cosas tuvo alguno hasta francisco llego verse
199,- XXXVIII -,Juan de Arguijo,15-17,presto curso veloz denuedo sigue apolo hija peneo hurto uno alas deseo otro le presto pies miedo te alejas si alcanzar te puedo le dijo mi amor oh digno empleo piensas cual aretusa alfeo huir mi vago viento excedo alento carrera ya vencida cuido tener dafne dureza tanto le acerco amante ciego piadoso padre socorrida trocando arbol mortal belleza burlo brazos avivo fuego
200,Soneto,Francisco Caus,15-17,impura tempestad dura tormenta fantastico vapor sueno mueve contra candor inmunidades bebe ampo angel alimenta dormido le asalto llama violenta acara descubierta no atreve como dio manos nieve hiela fuego pureza alienta impuro concibio sentido matices boca vio luego espumas sangre divertido ella quedo frio ardor ciego porque batallas torpes aun dormido lleva javier todo sangre fuego
201,A don Diego de Mendoza y a su fama,Ortigal de Cervantes,15-17,memoria vive gentes varon famoso siglos infinitos premio le merecen tus escritos graves puros castos excelentes ansias honesta llama ardientes etnas setigios cozitos ellos suavemente van descritos mira si bien fama cuentes lleves ligero vuelo cuanto cine mar sol rodea laminas bronce esculpas asi suelo sabra sabe cielo renombre inmortal desea tal vez le alcancen amorosas culpas
202,- LVI -,Juan de Arguijo,15-17,gran senor asia venerado padre tantos reyes suerte fiera falta sepulcro yace ribera cabeza nombre cuerpo helado cuando ve troya derramado fuego contiene alta esfera falta desnudo tronco postrera llama solo le bana ponto airado ti admiramos humana suerte inconstancia oh ejemplo segundo ti vueltas incierta vida cual voz habra dignamente acierte lamentar fin cuando vio mundo ni grandeza mayor ni igual caida
203,- XL -,Juan de Arguijo,15-17,triste fin suerte infortunada ajeno premio fe constante uno otro miserable amante quien perdio noche espada encierra oscura esta labrada piedra tu peregrino caminante repara grave caso semblante pio suspende curso tu jornada daras tiernas lagrimas no dudo cenizas donde aun dura ardiente fuego causo desdicha tanta debida compasion mal pudo trocar color cercana fuente fruto silvestre planta
204,A la muerte de Lope de Vega,María de Zayas y Sotomayor,15-17,si mi llanto mi pluma no estorbara fenix patria nuevo apolo mi lira te hiciera mauseolo tu inmortalidad aposentara mejor yo ninguno te alabara como tu uno otro polo unico naciste sol solo solo mi amor solo te igualara como cantare cuando te lloro esperanza ningun consuelo ya ternura sea sea decoro pues pierden hoy porque te gano cielo mantua prenda espana tesoro dios musas vega suelo
205,- XXIV -,Juan de Arguijo,15-17,vencedor huyendo lesbos deja pompeyo roto farsalia guerra esposa embarca tierra inunda nilo mal aleja hado riguroso le aqueja extranjero reino le destierra seguridad busca encierra fin dio cornelia eterna queja fiera tormenta buscado puerto gran pompeyo halla vez abrigo quien mudanzas suerte ignora quien no recelara suceso incierto si da muerte obligado amigo si enemigo vencedor le llora
206,Soneto del Triunfo parténico,Carlos Sigüenza y Góngora,15-17,si celeste si candida si pura eterea azucena sol luciente cuando indultando delos oriente privilegia intacta hermosura como pudo borron sombra impura profanar excepcion como indecente villana espina horrorizar ardiente luz nevada aun delos dura si sombra no hay sombra si idea mancha falta no queriendo dia luz cuna sea como original como podia hallarse impuro culpa fea siendo luz sombra maria
207,- IX -,Juan de Arguijo,15-17,duro escollo expuesta mar insano no culpada hija cefeo mueve piedad reino nereo remedio dolor pidiendo vano cuando rompiendo aire liviano vuelo muestra vencedor perseo gran despojo meduseo orna glorioso triunfante mano doncella llanto hermosura enviaron tiempo pecho fuerte lastima amor agudas flechas mar libra bestia dura trocando vida temida muerte nupciales cantares endechas
208,A la acelerada muerte del doctor Juan Pérez de Montalbán,Bernardino González de Mendoza y Andía,15-17,paraca feroz humanos bandolera ninguno parece llegas tarde entre sombras miedos cual cobarde haces tu herida penetrante fiera como fuiste tan cruda tan severa quien aun alla luz arde haciendo ingenio pluma alarde le limitaste carrera gozosa estaras pues escarmienta oye no huyas tan veloz detente veras madrid patria ostenta todo ingenio sutil floreciente celebrar acciones intenta viva pesar eternamente
209,De San Mateo en Etiopía,Felipe Codínez,15-17,hombre emprestito breve vida muerte comun deuda forzosa sueno fantasia mentirosa maquina vanidades sostenida luz tan presto mortal como encendida polvo altivez farsa enganosa ceniza hinchada arena revoltosa humo aire flor desvanecida tierra inconstante barro movedizo vapor caduco miserable viento centella breve fabula sonada soplo fuerza vidrio quebradizo sombra ser ligero pensamiento hombre te llaman yo te llamo nada
210,Soneto,Juan Bautista de Mesa,15-17,si mostrandose roma agradecida quien ciudadano libertase cuando morir le amenazase enemigo ya dueno vida quiso fuese conocida hazana tan honrosa imitase corona sienes adornase honra grande bien debida espana si cual debes agradeces quien te libra tantos ciudadanos muerte amenazo olvido como tantas coronas no le ofreces haciendole nombre soberanos cuanto sol alumbra conocido
211,Al sepulcro de don Juan Pérez de Montalbán,Juan Barreto Bogado,15-17,suspende paso no pena llanto errante peregrino considera sol luna estrellas carrera curso veloz dejan espanto parados suspenden entre tanto monte subes donde te espera cadaver vivo ser pudiera maestro musas canto llega sepulcro heroico estilo comico encierra sepultado aguila apolo pompa mira pompa funeral tajo nilo pindo parnaso celebrado muerto montalban hoy retira
