id,titulo,autor,siglo,texto_limpio,tokens_utiles
332,Sonetos – - III -,Fray Arcángel de Alarcón,15-17,buscan al nino el padre putativo y la virgen purisima afligidos con lagrimas sollozos y gemidos oh caso lastimoso y compasivo y aunque en su alma llevan al dios vivo nino lo buscan de su amor heridos entre parientes y entre conocidos con dolor penalisimo excesivo y no lo hallan dandonos ejemplo jesus de que si hallarte deseamos no entre carne y sangre te busquemos y pues tu madre purisima en el templo lo halla tambien nos verte podremos si en las cosas de dios nos ocupamos,buscan nino padre putativo virgen purisima afligidos lagrimas sollozos gemidos oh caso lastimoso compasivo alma llevan dios vivo nino buscan amor heridos entre parientes entre conocidos dolor penalisimo excesivo no hallan dandonos ejemplo jesus si hallarte deseamos no entre carne sangre te busquemos pues tu madre purisima templo halla tambien nos verte podremos si cosas dios nos ocupamos
333,Soneto,Pedro Lainez,15-17,de un ebano sutil dos bellas piernas bellas del bello que las tapa y cubre una arrugada y descarnada ubre dos secas nalgas y humedas cavernas un pecho de tablon y dos mal tiernas castraduras de macho que descubre un brazo de nogal que al mes de octubre pronostica las cosas mas internas un palido color de quinta angustia a puro azogue conservado y hecho un liston por la frente atado al justo una severidad marchita y mustia me abrasa el alma y me consume el pecho tal es la fuerza de un bellaco gusto,ebano sutil dos bellas piernas bellas bello tapa cubre arrugada descarnada ubre dos secas nalgas humedas cavernas pecho tablon dos mal tiernas castraduras macho descubre brazo nogal mes octubre pronostica cosas internas palido color quinta angustia puro azogue conservado hecho liston frente atado justo severidad marchita mustia me abrasa alma me consume pecho tal fuerza bellaco gusto
334,Soneto de Boscán,Cristóbal de Castillejo,15-17,si las penas que dais son verdaderas como muy bien lo sabe el alma mia por que ya no me acaban y seria sin ellas mi morir muy mas de veras mas si por dicha son tan lisonjeras que quieren retozar con mi alegria decid por que me matan cada dia con muerte de dolor de mil maneras mostradme este secreto ya senora sepa yo por vos pues por vos muero si aquesto que padezco es muerte o vida porque siendo vos la matadora mayor gloria de pena ya no quiero que poder yo tener tal homicida,si penas dais son verdaderas como bien sabe alma mia ya no me acaban seria ellas mi morir veras si dicha son tan lisonjeras quieren retozar mi alegria decid me matan cada dia muerte dolor mil maneras mostradme este secreto ya senora sepa yo vos pues vos muero si aquesto padezco muerte vida porque siendo vos matadora mayor gloria pena ya no quiero poder yo tener tal homicida
335,Sonetos – - IX -,Gregorio de Matos,15-17,una dos tres estrellas veinte ciento un millon mil millares de millares valgame dios que tengan mis pesares su retrato en el alto firmamento que siendo las estrellas tan sin cuento como son las arenas de los mares las iguale en sus numeros impares mi pesara mi desdicha y mi tormento mas yo de que me espanto o que me abismo tenga ese alivio en fin mi desconsuelo que se va pareciendo al cielo mismo pues pudiendo mis males por mas duelo semejarse a las penas del abismo tienen su semejanza alla en el cielo,dos tres estrellas veinte ciento millon mil millares millares valgame dios tengan mis pesares retrato alto firmamento siendo estrellas tan cuento como son arenas mares iguale numeros impares mi pesara mi desdicha mi tormento yo me espanto me abismo tenga ese alivio fin mi desconsuelo va pareciendo cielo mismo pues pudiendo mis males duelo semejarse penas abismo tienen semejanza alla cielo
336,A un hombre muy malo que se aumentaba mucho en bie,Jerónimo Cáncer y Velasco,15-17,lesbio si entre tu vida licenciosa permite el cielo o fabio o providente que tu riqueza en todo se acreciente piedad es mas piedad muy sospechosa mira que de esta dicha misteriosa se infiere que es mortal el accidente que consentirle excesos al doliente siempre fue una senal muy peligrosa cuando te llena de colmados frutos dios dispone el castigo a tu malicia rompida alguna temporal concordia y por que esten en paz sus atributos te hace aquellos halagos la justicia para acallar a la misericordia,lesbio si entre tu vida licenciosa permite cielo fabio providente tu riqueza todo acreciente piedad piedad sospechosa mira esta dicha misteriosa infiere mortal accidente consentirle excesos doliente siempre senal peligrosa cuando te llena colmados frutos dios dispone castigo tu malicia rompida alguna temporal concordia esten paz atributos te hace aquellos halagos justicia acallar misericordia
337,Al sepulcro de Lope de Vega,Gaspar Dávila,15-17,vuelve mortal deten el paso incierto y veras al que en polvo reducido fue cuanto pudo y es cuanto no ha sido de tanta humanidad seguro puerto no le llores de lagrimas cubierto pues yace vencedor contra el olvido que si lope murio de haber nacido tambien ahora vive de haber muerto fallecio en su mortal naturaleza y si tu con piedad enternecida trasladas su memoria a tu flaqueza llora su pluma al mundo ya perdida que no te obligara a mayor tristeza el que murio para tener mas vida,vuelve mortal deten paso incierto veras polvo reducido cuanto pudo cuanto no ha sido tanta humanidad seguro puerto no le llores lagrimas cubierto pues yace vencedor contra olvido si lope murio haber nacido tambien ahora vive haber muerto fallecio mortal naturaleza si tu piedad enternecida trasladas memoria tu flaqueza llora pluma mundo ya perdida no te obligara mayor tristeza murio tener vida
338,Soneto,Juan de Moncayo,15-17,como se pasan lelio las edades sujetas al rigor de la inconstancia cuando del mundo barbara ignorancia desconoce terrestres potestades funda sobre diversas voluntades de prosperos sucesos la arrogancia y veras en su misma vigilancia que todo es vanidad de vanidades nace el sol en el termino de un dia muere y comienza el curso repetido por la estacion del cielo mas serena solo a tanta mudanza mi agonia en el lobrego centro del olvido anima el contrapeso de mi pena,como pasan lelio edades sujetas rigor inconstancia cuando mundo barbara ignorancia desconoce terrestres potestades funda diversas voluntades prosperos sucesos arrogancia veras misma vigilancia todo vanidad vanidades nace sol termino dia muere comienza curso repetido estacion cielo serena solo tanta mudanza mi agonia lobrego centro olvido anima contrapeso mi pena
339,A la muerte del doctor Juan Pérez de Montalbán,Blas Fernández de Mesa,15-17,cisne de mantua que canoro antes que discurrieses tu estacion umbria ni esta playa volaste tuya y mia te vio el mundo en canciones elegantes pocos numeros eran tus instantes cuando no sin asombro te atendia primero que deudor fueses de un dia ni te vistiesen plumas tremolantes milagro fuiste aun antes que estudioso porque en tu cuna verde y nido rudo prodigio contra el orden fue tu canto que en su pico el aliento numeroso se adelanto por si llegabas mudo a los umbrales del sepulcro santo,cisne mantua canoro antes discurrieses tu estacion umbria ni esta playa volaste tuya mia te vio mundo canciones elegantes pocos numeros eran tus instantes cuando no asombro te atendia primero deudor fueses dia ni te vistiesen plumas tremolantes milagro fuiste aun antes estudioso porque tu cuna verde nido rudo prodigio contra orden tu canto pico aliento numeroso adelanto si llegabas mudo umbrales sepulcro santo
340,"Sonetos en su honor – El doctor Francisco de la Portilla, capellán de Su Majestad",Cristóbal de Virués,15-17,si entre los sabios griegos fue ilustrado homero por su tan subida rima y entre latinos se le dio la prima al mantuano heroico celebrado que merece el que el vuelo a levantado cantando lo que el cielo tanto estima como es un pecador cuando se anima a salir con fervor de su pecado mayor palma es la vuestra y mayor gloria virues pues con poema peregrino cantais del gran garin las alabanzas y de aquel santuario la memoria eternizais abriendonos camino a contemplar divinas esperanzas,si entre sabios griegos ilustrado homero tan subida rima entre latinos le dio prima mantuano heroico celebrado merece vuelo levantado cantando cielo tanto estima como pecador cuando anima salir fervor pecado mayor palma vuestra mayor gloria virues pues poema peregrino cantais gran garin alabanzas aquel santuario memoria eternizais abriendonos camino contemplar divinas esperanzas
341,Epigrama,Juan Francisco Andrés,15-17,el ebro en su corriente cristalina celebre alcino tus discretas sales pues con tus agudezas sus caudales no envidiaran la fuente cabalina tu voz resuene dulce peregrina en los climas remotos boreales porque de tu elocuencia los raudales al mayor lauro febo los destina el clarin resonante de la fama aplauda sus cadencias ingeniosas cuando el sonoro pindo las aclama y exentas de las sombras envidiosas de daphne las corone inmortal rama para que brillen siempre victoriosas,ebro corriente cristalina celebre alcino tus discretas sales pues tus agudezas caudales no envidiaran fuente cabalina tu voz resuene dulce peregrina climas remotos boreales porque tu elocuencia raudales mayor lauro febo destina clarin resonante fama aplauda cadencias ingeniosas cuando sonoro pindo aclama exentas sombras envidiosas daphne corone inmortal rama brillen siempre victoriosas
342,Soneto,Francisco Pacheco,15-17,cual fresca rosa en jerico plantada que del alba libo en la luz dudosa preciadisimo aljofar mas gloriosa al fulgor de titan de opone osada y en verde ramo al cielo levantada el oro ostenta y purpura hermosa desparciendo fragancia deliciosa reina de los pensiles aclamada tal pura virgen sois habeis triunfado del sanoso luzbel porque el rocio de la gracia os previno en vuestra aurora que en la alteza eternal que se os ha dado nunca en su honor debio tener vacio de dios la madre a quien el orbe adora,cual fresca rosa jerico plantada alba libo luz dudosa preciadisimo aljofar gloriosa fulgor titan opone osada verde ramo cielo levantada oro ostenta purpura hermosa desparciendo fragancia deliciosa reina pensiles aclamada tal pura virgen sois habeis triunfado sanoso luzbel porque rocio gracia os previno vuestra aurora alteza eternal os ha dado nunca honor debio tener vacio dios madre quien orbe adora
343,Soneto,Juan de la Cueva,15-17,vido a tirena descubierto el pecho felino el suyo convertido en lloro fijo mirando las dos pomas de oro que le han puesto la vida en tanto estrecho ay dice no es posible que sea hecho de piedra dura tan gentil tesoro no es este aquel de tigre o bien de toro que la vida y entranas me han deshecho mas viendo que ella un punto no desiste su mal oyendo y su tormento puro ni aun vuelve el rostro al alabar primero dice llorando arrepentido y triste mas piedra eres que piedra pecho duro y no digo que piedra mas que acero,vido tirena descubierto pecho felino suyo convertido lloro fijo mirando dos pomas oro le han puesto vida tanto estrecho ay dice no posible sea hecho piedra dura tan gentil tesoro no este aquel tigre bien toro vida entranas me han deshecho viendo ella punto no desiste mal oyendo tormento puro ni aun vuelve rostro alabar primero dice llorando arrepentido triste piedra eres piedra pecho duro no digo piedra acero
344,Soneto,Francisco Crespi de Valldaura,15-17,tanta virtud y tanta fuerza alcanza un hidalgo secreto pensamiento que va creciendo siempre su contento sin peligro ninguno de mudanza pues quien de amor buscare la privanza el bien procure con secreto intento que sobre este macizo fundamento al cielo se levanta una esperanza el que a nadie descubre su secreto sin temer de la envidia los agravios goza siempre su gusto mas perfecto porque en el movimiento de los labios se conoce el prudente que el secreto es la piedra de toque de los sabios,tanta virtud tanta fuerza alcanza hidalgo secreto pensamiento va creciendo siempre contento peligro ninguno mudanza pues quien amor buscare privanza bien procure secreto intento este macizo fundamento cielo levanta esperanza nadie descubre secreto temer envidia agravios goza siempre gusto perfecto porque movimiento labios conoce prudente secreto piedra toque sabios
345,Soneto,Tomás de la Vega,15-17,paloma virgen que la verde oliva alegre lleva con ligero vuelo zarza que ardiendo de moises el celo aumenta y prodigiosa lo cautiva arca del nuevo testamento viva antes labrada que lo fuese el cielo judith valiente que banado el suelo dejo con sangre de la bestia altiva oh candida cordera palestina que ofrece a gedeon el vellocino esther graciosa que por ella inclina el padre al verbo de su solio trino a tan alteza fenix peregrina inmaculada concepcion convino,paloma virgen verde oliva alegre lleva ligero vuelo zarza ardiendo moises celo aumenta prodigiosa cautiva arca nuevo testamento viva antes labrada fuese cielo judith valiente banado suelo dejo sangre bestia altiva oh candida cordera palestina ofrece gedeon vellocino esther graciosa ella inclina padre verbo solio trino tan alteza fenix peregrina inmaculada concepcion convino
346,Soneto,Cristóbal Suárez de Figueroa,15-17,oh bien feliz el que la vida pasa sin ver del que gobierna el aposento y mas quien deja el cortesano asiento por la humildad de la pajiza casa que nunca teme una fortuna escasa de ajena vida el ponzonoso aliento a la planta mayor persigue el viento a la torre mas alta el rayo abrasa contento estoy de mi mediana suerte el poderoso en su deidad resida mayor felicidad yo no procuro pues la quietud sagrada al hombre advierte ser para el corto espacio de la vida el mas humilde estado mas seguro,oh bien feliz vida pasa ver gobierna aposento quien deja cortesano asiento humildad pajiza casa nunca teme fortuna escasa ajena vida ponzonoso aliento planta mayor persigue viento torre alta rayo abrasa contento estoy mi mediana suerte poderoso deidad resida mayor felicidad yo no procuro pues quietud sagrada hombre advierte ser corto espacio vida humilde estado seguro
347,Sonetos – Soneto,Fray Luis de León,15-17,si pan es lo que vemos como dura sin que comiendo de el se nos acabe si dios como en el gusto a pan nos sabe como de solo pan tiene figura si pan como le adora la criatura si dios como en tan chico espacio cabe si pan como por ciencia no se sabe si dios como le come su hechura si pan como nos harta siendo poco si dios es como puede ser partido si pan como en el alma hace tanto si dios como le miro yo y le toco si pan como del cielo ha descendido si dios como no muero yo de espanto,si pan vemos como dura comiendo nos acabe si dios como gusto pan nos sabe como solo pan tiene figura si pan como le adora criatura si dios como tan chico espacio cabe si pan como ciencia no sabe si dios como le come hechura si pan como nos harta siendo poco si dios como puede ser partido si pan como alma hace tanto si dios como le miro yo le toco si pan como cielo ha descendido si dios como no muero yo espanto
348,Sonetos en su honor – Matías de Vargas,Cristóbal de Virués,15-17,asi como en el fin del quinto canto al vivo os retratais en la pintura que del rostro del talle y compostura haceis alli de vuestro monje santo asi debeis de retratarle en cuanto muestra de su valor vuestra escritura pues de vuestro alto espiritu y cordura no se puede esperar menos que tanto y asi tambien como en el cuerpo y alma creo que de garin sois un modelo segun en cuerpo y alma le pintastes asi creo virues que en gloria y palma le habeis de parecer en tierra y cielo por el alto sujeto que cantaste,asi como fin quinto canto vivo os retratais pintura rostro talle compostura haceis alli vuestro monje santo asi debeis retratarle cuanto muestra valor vuestra escritura pues vuestro alto espiritu cordura no puede esperar tanto asi tambien como cuerpo alma creo garin sois modelo segun cuerpo alma le pintastes asi creo virues gloria palma le habeis parecer tierra cielo alto sujeto cantaste
349,Soneto,Luis Enríquez de Navarra,15-17,el claustro celestial del sol indiano de sirtes alevosas detenido cabos de riesgos es reconocido su curso inmovil en el seno arcano suda el ingenio el arte gime en vano a vista del naufragio inadvertido el afan reconocese perdido y el susto falto de socorro humano recurren al sarcofago glorioso y circundandole de humilde acento fue su llanto clarin impetuoso que allano el obstinado impedimento franqueando a javier el muro undoso como en jerico al arca el paso exento,claustro celestial sol indiano sirtes alevosas detenido cabos riesgos reconocido curso inmovil seno arcano suda ingenio arte gime vano vista naufragio inadvertido afan reconocese perdido susto falto socorro humano recurren sarcofago glorioso circundandole humilde acento llanto clarin impetuoso allano obstinado impedimento franqueando javier muro undoso como jerico arca paso exento
350,A Píramo y Tisbe,Jerónimo Cáncer y Velasco,15-17,el cendal de que tisbe se despoja piramo advierte y reconoce atento y creyendo por el su fin violento sobre su acero intrepido se arroja en brazos ya de la postrer congoja vio tisbe al alma de su pensamiento y por mezclar su aliento con su aliento solo la duda de morir la enoja espera a quien te adora tisbe clama al penetrarse el pecho enamorado y unieron las dos almas desta suerte oh siempre injusto amor quien no te infama que la deuda a que estabas obligado fue menester cobrarla con la muerte,cendal tisbe despoja piramo advierte reconoce atento creyendo fin violento acero intrepido arroja brazos ya postrer congoja vio tisbe alma pensamiento mezclar aliento aliento solo duda morir enoja espera quien te adora tisbe clama penetrarse pecho enamorado unieron dos almas desta suerte oh siempre injusto amor quien no te infama deuda estabas obligado menester cobrarla muerte
351,Soneto,Juan de Moncayo,15-17,en cuantos paralelos el sol dora rompa el clarin sonoro que te aclama los aplausos mayores de la fama pues a tu luz sus glorias atesora canta y beba en tus nacares la aurora la suave ambrosia que derrama tu dulce voz y de la esquiva rama teja guirnaldas a tus sienes flora lo jocoso alternando con las veras dando al parnaso lustres y primores del sol adornen candidas esferas tantos en ti se miren superiores los rayos que en tus aguas reverberas cuantas la alba a tu ingenio inspiro flores,cuantos paralelos sol dora rompa clarin sonoro te aclama aplausos mayores fama pues tu luz glorias atesora canta beba tus nacares aurora suave ambrosia derrama tu dulce voz esquiva rama teja guirnaldas tus sienes flora jocoso alternando veras dando parnaso lustres primores sol adornen candidas esferas tantos ti miren superiores rayos tus aguas reverberas cuantas alba tu ingenio inspiro flores
352,A San Isidro,Domingo Barreto Mendoza,15-17,los campos de madrid isidro santo en dios arrebatadas sus acciones fertiliza con llanto y oraciones rico cultor sera quien siembra tanto espiritus angelicos en tanto sustituyen sus rusticas pensiones dando al suelo y al cielo admiraciones y aun a la propia admiracion espanto lagrimas siembra y aunque es fertil suelo del surco nunca de su llanto enjuto cosecha ofrece al celestial desvelo en otras eras libra este tributo porque coger esperan en el cielo sembrando aqui sus lagrimas el fruto,campos madrid isidro santo dios arrebatadas acciones fertiliza llanto oraciones rico cultor sera quien siembra tanto espiritus angelicos tanto sustituyen rusticas pensiones dando suelo cielo admiraciones aun propia admiracion espanto lagrimas siembra fertil suelo surco nunca llanto enjuto cosecha ofrece celestial desvelo otras eras libra este tributo porque coger esperan cielo sembrando aqui lagrimas fruto
353,En la muerte de Lope de Vega,Cavalier Marino,15-17,discurre a etiopia el ave no engendrada de admirables despojos revestida de volatil escuadra perseguida porque la miran digna de envidiada edad y gloria logra dilatada hasta que en la materia prevenida introduce alta llama que la vida le quita a un tiempo y deja renovada tal o lope espanol fenix volaste y a pesar de la envidia que venciste triunfos de aplausos general lograste y bien que a ley fatal obedeciste vida igual a los siglos vinculaste en la sobras insignes que escribiste,discurre etiopia ave no engendrada admirables despojos revestida volatil escuadra perseguida porque miran digna envidiada edad gloria logra dilatada hasta materia prevenida introduce alta llama vida le quita tiempo deja renovada tal lope espanol fenix volaste pesar envidia venciste triunfos aplausos general lograste bien ley fatal obedeciste vida igual siglos vinculaste sobras insignes escribiste
354,Soneto,Francisco de Pamones,15-17,confeso en el linaje y moro puto y mixto en linea estrecha con villano ya he visto ser la flecha de tu mano y que eso es tu lenguaje y tu tributo avieso fue el ultraje disoluto de listo erro la flecha el cuero insano que a cristo iba derecha y dio al cristiano suceso que en tu traje pondra luto detenga esa lanzada de minerva y caiga o no en la cuenta de sus yerros si asesta otra contemple esta medida y venga enherbolada en esa yerba y traiga la tormenta de tres fierros como esta que no hay temple que la impida,confeso linaje moro puto mixto linea estrecha villano ya he visto ser flecha tu mano eso tu lenguaje tu tributo avieso ultraje disoluto listo erro flecha cuero insano cristo iba derecha dio cristiano suceso tu traje pondra luto detenga esa lanzada minerva caiga no cuenta yerros si asesta otra contemple esta medida venga enherbolada esa yerba traiga tormenta tres fierros como esta no hay temple impida
355,Coloquio entre un soldado y una beata,Fray Bernardo de Cárdenas,15-17,sol ya hago voto a dios bta pues a dios vota hijo mio no tiemble cuando jura sol yo voto y juro por la virgen pura y es obra de virtud santa y devota y juro a dios bta la sangre me alborota viendo que persevera en su locura no jure hijo mas sol por que me apura madre que la paciencia seme agota y asi un millon de veces voto y juro de defender la honra de maria pues mientras juro mas soy mas premiado bta si eso es asi verdad jurar procuro tambien de defender la opinion pia mas ay que grande escrupulo me ha dado si habra en jurar pecado un alma que de ser perfecta trata autor esto dudo en san pedro una beata,sol ya hago voto dios bta pues dios vota hijo mio no tiemble cuando jura sol yo voto juro virgen pura obra virtud santa devota juro dios bta sangre me alborota viendo persevera locura no jure hijo sol me apura madre paciencia seme agota asi millon veces voto juro defender honra maria pues mientras juro soy premiado bta si eso asi verdad jurar procuro tambien defender opinion pia ay grande escrupulo me ha dado si habra jurar pecado alma ser perfecta trata autor esto dudo san pedro beata
356,Soneto,Cristóbal de Castillejo,15-17,garcilaso y boscan siendo llegados al lugar donde estan los trovadores que en esta nuestra lengua y sus primores fueron en este siglo senalados los unos a los otros alterados se miran con mudanza de colores temiendose que fuesen corredores espias o enemigos desmandados y juzgando primero por el traje parecieronles ser como debia gentiles espanoles caballeros y oyendoles hablar nuevo leguaje mezclado de una extrana poesia con ojos los miraban de extranjeros,garcilaso boscan siendo llegados lugar donde estan trovadores esta nuestra lengua primores fueron este siglo senalados otros alterados miran mudanza colores temiendose fuesen corredores espias enemigos desmandados juzgando primero traje parecieronles ser como debia gentiles espanoles caballeros oyendoles hablar nuevo leguaje mezclado extrana poesia ojos miraban extranjeros
357,A Jorge de Montemayor,Pedro Laynez,15-17,divino ausias libre de recelo estoy que un tiempo ya me dio cuidado que tu subido canto levantado se esta por no entenderle aca en el suelo pues ha subido tanto el alto vuelo y es tan dulce el estilo y delicado con que montemayor te ha declarado que tu encubierta fama llega al cielo en cargo te es espana pues le diste tal obra que con ella le ganaste a mal grado del tiempo un nombre eterno y a ti montemayor pues solo fuiste el que tan alto bien comunicaste que sacas del renombre sempiterno,divino ausias libre recelo estoy tiempo ya me dio cuidado tu subido canto levantado esta no entenderle aca suelo pues ha subido tanto alto vuelo tan dulce estilo delicado montemayor te ha declarado tu encubierta fama llega cielo cargo te espana pues le diste tal obra ella le ganaste mal grado tiempo nombre eterno ti montemayor pues solo fuiste tan alto bien comunicaste sacas renombre sempiterno
358,Sonetos – - I -,Fray Arcángel de Alarcón,15-17,hoy la rama ha su tronco producido y el arroyo a su clara y limpia fuente y el rayo al mismo sol resplandeciente de quien el ser y hombre ha recibido hoy la vara de aaron ha florecido sin humor de la tierra procedente y la zarza de sina en el ardiente fuego verde y entera ha parecido hoy recibe la virgen nuevo nombre admirable y gozoso a los mortales de hija de su dios madre y esposa cantemos pues con coros celestiales la manera moral hecha gozosa que el hombre es dios inmenso y dios es hombre,hoy rama ha tronco producido arroyo clara limpia fuente rayo mismo sol resplandeciente quien ser hombre ha recibido hoy vara aaron ha florecido humor tierra procedente zarza sina ardiente fuego verde entera ha parecido hoy recibe virgen nuevo nombre admirable gozoso mortales hija dios madre esposa cantemos pues coros celestiales manera moral hecha gozosa hombre dios inmenso dios hombre
359,Invocación al sueño,Fray Jerónimo de San José,15-17,imagen de la vida y de la muerte que vida y muerte son un breve sueno treguas de paz al riguroso ceno de la mas infeliz y dura suerte pues en ti su rigor el arco fuerte afloja y calma el combatido leno recibeme en tu paz en cuyo empeno mi guerra entrego hasta que en paz despierte ya que otro bien no ofreces sueno amigo sino privar del mal y eres figura del no ser privacion del todo extrema no me niegues el seno de tu abrigo donde hallando su fin mi desventura n mas miseria ni mayor la tema,imagen vida muerte vida muerte son breve sueno treguas paz riguroso ceno infeliz dura suerte pues ti rigor arco fuerte afloja calma combatido leno recibeme tu paz cuyo empeno mi guerra entrego hasta paz despierte ya otro bien no ofreces sueno amigo sino privar mal eres figura no ser privacion todo extrema no me niegues seno tu abrigo donde hallando fin mi desventura n miseria ni mayor tema
360,Soneto a un amante preso,Jacinto Polo de Medina,15-17,prisionero infeliz donde no expira aura suave ni apacible viento mis penas lloro mis desdichas siento que hiere un mal cuando otro se retira pajaro asi que en libertad se mira solo a su voz y a la del aire atento lamenta la prision gime al tormento cuando el perdido bien preso suspira rigor fue de torturas que previno tirana siempre de mi amor al fuego inhumana crueldad barbaros lazos oh rapaz tu en victoria peregrino por que permites pues te sigo ciego cadena injusta a mis amantes brazos,prisionero infeliz donde no expira aura suave ni apacible viento mis penas lloro mis desdichas siento hiere mal cuando otro retira pajaro asi libertad mira solo voz aire atento lamenta prision gime tormento cuando perdido bien preso suspira rigor torturas previno tirana siempre mi amor fuego inhumana crueldad barbaros lazos oh rapaz tu victoria peregrino permites pues te sigo ciego cadena injusta mis amantes brazos
361,Al doctor Juan Pérez Montalbán,Simón Villalobos Benavides y Calatayud,15-17,si un fenix de otro fenix producido la forma tiene de aquel ser unida y junta a los rigores de homicida piadoso fuego que sirvio de nido muriendo lope montalban ha sido el fenix que naciendo le da vida con su estilo con gloria repetida a pesar de las aguas del olvido mas hoy del fenix muere el heredero lloren las musas y lamente apolo en el siglo presente y venidero y siempre se lamente y llore el polo cuando procede el hado tan severo y hasta el numero muere y queda el solo,si fenix otro fenix producido forma tiene aquel ser unida junta rigores homicida piadoso fuego sirvio nido muriendo lope montalban ha sido fenix naciendo le da vida estilo gloria repetida pesar aguas olvido hoy fenix muere heredero lloren musas lamente apolo siglo presente venidero siempre lamente llore polo cuando procede hado tan severo hasta numero muere queda solo
362,Sonetos – - V -,Pedro de Quirós,15-17,ruisenor amoroso cuyo llanto no hay noble que no deje enternecido oh si tu voz cantase mi gemido oh si gimiera mi dolor tu canto esperar mi desvelo osara tanto que mereciese por lo bien sentido ser escuchado cuando no creido de la que es de mi amor hermoso encanto que mal empleas tu caudal sonoro cantando el alba y a las flores bellas canta tu oh ruisenor lo que yo lloro acomoda en tu pico mis querellas que si las dices a quien tierno adoro con tu voz llegaras a las estrellas,ruisenor amoroso cuyo llanto no hay noble no deje enternecido oh si tu voz cantase mi gemido oh si gimiera mi dolor tu canto esperar mi desvelo osara tanto mereciese bien sentido ser escuchado cuando no creido mi amor hermoso encanto mal empleas tu caudal sonoro cantando alba flores bellas canta tu oh ruisenor yo lloro acomoda tu pico mis querellas si dices quien tierno adoro tu voz llegaras estrellas
363,Soneto,Manuel Salinas y Lizana,15-17,llorando el nino amor con gran ternura en busca de su madre iba quejoso cuando de celia viendo el rostro hermoso que copiaba de venus la hermosura madre madre vocea y se apresura con los brazos abiertos carinoso de lograr los de celia deseoso que es ciego amor y ciega la ventura volvio el rostro a las voces de cupido celia y mirando al nino dios alado no soy madre le dijo muy severa sonrojose el rapaz y aun mas corrido que de su engano de lo desdenado fue a buscar a su madre verdadera,llorando nino amor gran ternura busca madre iba quejoso cuando celia viendo rostro hermoso copiaba venus hermosura madre madre vocea apresura brazos abiertos carinoso lograr celia deseoso ciego amor ciega ventura volvio rostro voces cupido celia mirando nino dios alado no soy madre le dijo severa sonrojose rapaz aun corrido engano desdenado buscar madre verdadera
364,A la muerte de Lope de Vega,Fernando de Soto,15-17,vive el que muerto ya morir no puede cuya alabanza para siempre vive y si ella eternidad aca recibe la verdadera alla se le concede a toda humana facultad excede este inmortal de quien la fama escribe porque con el silencio que apercibe el muerto vivo satisfecho quede verdad es que murio pero no muere quien gloria y vida eterna ha conseguido con la de su alabanza justamente haga la muerte en fin cuanto quisiere que vidas que jamas ha conocido no las podra quitar perpetuamente,vive muerto ya morir no puede cuya alabanza siempre vive si ella eternidad aca recibe verdadera alla le concede toda humana facultad excede este inmortal quien fama escribe porque silencio apercibe muerto vivo satisfecho quede verdad murio no muere quien gloria vida eterna ha conseguido alabanza justamente haga muerte fin cuanto quisiere vidas jamas ha conocido no podra quitar perpetuamente
365,Al licenciado Tomé de Burguillos,Teresa Verecundia,15-17,con dulce voz y pluma diligente y no vestida de confusos caos cantais tome las bodas los saraos de zapaquilda y mizifuf valiente si a homero corono la ilustre frente cantar las armas de las griegas naos a vos de los insignes marramiaos guerras de amor por subito accidente bien mereceis un gato de doblones aunque ni lope celebreis o el taso ricardos o gofredos de bullones pues que por vos segundo gatilaso quedaran para siempre de ratones libres las bibliotecas del parnaso,dulce voz pluma diligente no vestida confusos caos cantais tome bodas saraos zapaquilda mizifuf valiente si homero corono ilustre frente cantar armas griegas naos vos insignes marramiaos guerras amor subito accidente bien mereceis gato doblones ni lope celebreis taso ricardos gofredos bullones pues vos segundo gatilaso quedaran siempre ratones libres bibliotecas parnaso
366,Soneto,Joseph Betancourt,15-17,deten el curso rapido y violento o generoso bruto en tu carrera no apresures el vuelo aguarda espera que un nuevo sol arrastra tu ardimiento advierte de tu crin el lucimiento que eclipsara sus luces a la esfera si de envidia los astros no encendiera con los tuyos que presta al firmamento tu luz que alumbra el ultimo horizonte a donde antigua huellas no llegaron corona de dos orbes ya se admira asombranse los brutos de faetonte pues si los cuatro a un mundo no bastaron ya con un bruto el sol dos mundos gira,deten curso rapido violento generoso bruto tu carrera no apresures vuelo aguarda espera nuevo sol arrastra tu ardimiento advierte tu crin lucimiento eclipsara luces esfera si envidia astros no encendiera tuyos presta firmamento tu luz alumbra ultimo horizonte donde antigua huellas no llegaron corona dos orbes ya admira asombranse brutos faetonte pues si cuatro mundo no bastaron ya bruto sol dos mundos gira
367,Sonetos creados entre 1586-1587 – A cierto intento agudo pensar del doctor Salinas,Juan de Salinas,15-17,el parroco sagaz que irreverencia teme dando el viatico al doliente hace primero que la accion intente en simple forma practica experiencia y si con moderada diligencia ve que la pasa el timido paciente dale entonces a dios seguramente prenda de gloria abismo de clemencia con fin igual quiza con la estafeta en copias varias tropas y cuadrillas llego cierta eclesiastica reforma para que si en vulgar simple gaceta la tragan bien bonetes y capillas se aplique en breve la tremenda forma,parroco sagaz irreverencia teme dando viatico doliente hace primero accion intente simple forma practica experiencia si moderada diligencia ve pasa timido paciente dale entonces dios seguramente prenda gloria abismo clemencia fin igual quiza estafeta copias varias tropas cuadrillas llego cierta eclesiastica reforma si vulgar simple gaceta tragan bien bonetes capillas aplique breve tremenda forma
