id,titulo,autor,siglo,texto_limpio,tokens_utiles
537,Al laureado ingenio del Parnaso doctor Juan Pérez de Montalbán,Juan Castro Pecellín y Barona,15-17,o tu que peregrinas caminante maravillas del mundo mira atento este fatal heroico monumento elocuente orador mudo elegante aquel gran montalban aquel atlante del cielo del parnaso aquel portento admiraras en el si el pensamiento a tanta admiracion fuere bastante aqui veras que cuenta injustamente el mundo las edades por los anos habiendo de contar por las acciones pues muriendo en la edad mas floreciente hoy vive y vivira libre de enganos joven anciano en todas las naciones,tu peregrinas caminante maravillas mundo mira atento este fatal heroico monumento elocuente orador mudo elegante aquel gran montalban aquel atlante cielo parnaso aquel portento admiraras si pensamiento tanta admiracion fuere bastante aqui veras cuenta injustamente mundo edades anos habiendo contar acciones pues muriendo edad floreciente hoy vive vivira libre enganos joven anciano todas naciones
538,A Polixena,Agustín Tejada Páez,15-17,de oro y crespo sutil rubia melena a la mano revuelve pirro airado y el brazo y el estoque en alto alzado amenaza con muerte a polixena ella mas de valor que de ansia llena el bello rostro en lagrimas banado los dioses llama el templo ha resonado volviendole los ecos a su pena enganaste le dice si pensares que al alma fiera de tu padre agrada ofrenda tan mortal tan limpio hecho que si victima soy en tus altares tu padre matas con tu misma espada porque siempre vivio dentro en mi pecho,oro crespo sutil rubia melena mano revuelve pirro airado brazo estoque alto alzado amenaza muerte polixena ella valor ansia llena bello rostro lagrimas banado dioses llama templo ha resonado volviendole ecos pena enganaste le dice si pensares alma fiera tu padre agrada ofrenda tan mortal tan limpio hecho si victima soy tus altares tu padre matas tu misma espada porque siempre vivio dentro mi pecho
539,Soneto,Conde del Basto,15-17,herida vais del serafin teresa corred al agua cierva blanca y parda mas la fuente de vida que os aguarda tambien es fuego y de abrasar no cesa como subis por la montana espesa del rigido carmelo tan gallarda que con descalzos pies no os acobarda del alto fin la inaccesible empresa serafin cazador el dardo os tira para que os deje estatica la punta y las plumas se os queden en la palma con razon vuestra ciencia el mundo admira si el serafico fuego a dios os junta y cuanto veis en el traslada el alma,herida vais serafin teresa corred agua cierva blanca parda fuente vida os aguarda tambien fuego abrasar no cesa como subis montana espesa rigido carmelo tan gallarda descalzos pies no os acobarda alto fin inaccesible empresa serafin cazador dardo os tira os deje estatica punta plumas os queden palma razon vuestra ciencia mundo admira si serafico fuego dios os junta cuanto veis traslada alma
540,Sonetos en su honor – El doctor Jerónimo de Virués,Cristóbal de Virués,15-17,un ulises prudente un pio eneas en sus largos viajes y cuidados de animos y elementos indicados metidos en mil asperas peleas hace mi hermano aqui lector que veas en un monje pobrisimo cifrados y con cristiana poesia ornados de mil hermosas galas y libreas y vivamente ante tus ojos pone la maravilla vista en monserrate del virginal retrato y templo santo el arte juzga tu con que dispone y guarda y da su altisimo quilate al verso heroico y al heroico canto,ulises prudente pio eneas largos viajes cuidados animos elementos indicados metidos mil asperas peleas hace mi hermano aqui lector veas monje pobrisimo cifrados cristiana poesia ornados mil hermosas galas libreas vivamente ante tus ojos pone maravilla vista monserrate virginal retrato templo santo arte juzga tu dispone guarda da altisimo quilate verso heroico heroico canto
541,Soneto,Diego de Silva y Mendoza,15-17,estas lagrimas vivas que corriendo van publicando lo que el alma calla son una diligencia sin pensalla que en mi favor esta el dolor haciendo quien llora esta atreviendose temiendo vencido de su pena por no dalla tomo el llanto a su cargo el declaralla nadie la dice y el la esta diciendo vos podreis descifrar algun suspiro sin que yo pierda el nombre de callado mas palabra no oireis de mis enojos pero tendre por fuerza cuando os miro remitido el deciros mi cuidado a la lengua del agua de mis ojos,estas lagrimas vivas corriendo van publicando alma calla son diligencia pensalla mi favor esta dolor haciendo quien llora esta atreviendose temiendo vencido pena no dalla tomo llanto cargo declaralla nadie dice esta diciendo vos podreis descifrar algun suspiro yo pierda nombre callado palabra no oireis mis enojos tendre fuerza cuando os miro remitido deciros mi cuidado lengua agua mis ojos
542,Soneto,Ana Vicencia de Mendoza,15-17,este que acaso incierto es el cuidado la fe venere misterioso acierto sacro favor que se vincula cierto al merito feliz de imaginado de madre oh virgen es mayor agrado pues hoy de vuestro corazon advierto que por mostrarle al hombre descubierto al hijo dios le permitis negado y si el es otro en vos y no segundo dire que le aplicais a la otra parte porque en entrambas el error le acierte mas oh infelice cuanto ingrato mundo este que arbitrio fue para ganarte tomas para disculpa del perderte,este acaso incierto cuidado fe venere misterioso acierto sacro favor vincula cierto merito feliz imaginado madre oh virgen mayor agrado pues hoy vuestro corazon advierto mostrarle hombre descubierto hijo dios le permitis negado si otro vos no segundo dire le aplicais otra parte porque entrambas error le acierte oh infelice cuanto ingrato mundo este arbitrio ganarte tomas disculpa perderte
543,Sonetos en su honor – A Lope de Vega,Cristóbal de Virués,15-17,con el mismo instrumento en que solia el pastor de partenope famoso hacer son tan suave y deleitoso que fieras aves y hombres suspendia hace lope tambien tal armonia con el arco y el verso numeroso que mejor otra vez del espantoso centro sacar a euridice podria ya la destreza de la suelta mano entra la pausa musica y redobles junta la varia voz con tal dulzura que es lope como amor dulce tirano de entendimientos altos de almas nobles que aspiran solo a la divina altura,mismo instrumento solia pastor partenope famoso hacer son tan suave deleitoso fieras aves hombres suspendia hace lope tambien tal armonia arco verso numeroso mejor otra vez espantoso centro sacar euridice podria ya destreza suelta mano entra pausa musica redobles junta varia voz tal dulzura lope como amor dulce tirano entendimientos altos almas nobles aspiran solo divina altura
544,A un galán que decía mucho mal de una dama de quien estaba celoso,Jerónimo Cáncer y Velasco,15-17,doy que lisi te agravia y que no alcanza o fabio el privilegio de querida porque ignorantemente se te olvida que es mujer cuando acusas su mudanza quiza la quieres y esta destemplanza en tu amor la veras como corrida que despues es verguenza enternecida lo que en la ira parecio venganza no es conveniencia publicar tu agravio que a todos los que ahora le refieres luego los temeras como enemigos mira que puede ser que vuelvas fabio habla de lisi bien para que quieres en una infame paz tantos testigos,doy lisi te agravia no alcanza fabio privilegio querida porque ignorantemente te olvida mujer cuando acusas mudanza quiza quieres esta destemplanza tu amor veras como corrida despues verguenza enternecida ira parecio venganza no conveniencia publicar tu agravio todos ahora le refieres luego temeras como enemigos mira puede ser vuelvas fabio habla lisi bien quieres infame paz tantos testigos
545,Soneto,Luis Enríquez de Navarra,15-17,hecho de amor sagrado mongibelo el pecho casto de javier glorioso arde en llamas de fuego generoso y exhala en luces su cordial anhelo rompe en el labio el humo de su celo elevado a favor tan portentoso y con acento humilde y fervoroso remite pone al celestial consuelo no si a las penas basta les repite cuando las reconoce mas crueles antes con mas afectos las admite su corazon por companeras fieles que aunque un basta sus meritos limite un mas le multiplica los laureles,hecho amor sagrado mongibelo pecho casto javier glorioso arde llamas fuego generoso exhala luces cordial anhelo rompe labio humo celo elevado favor tan portentoso acento humilde fervoroso remite pone celestial consuelo no si penas basta les repite cuando reconoce crueles antes afectos admite corazon companeras fieles basta meritos limite le multiplica laureles
546,Soneto,Manuel de Mola y Córdoba,15-17,la reina de las aves misteriosa en afectos de eterna desatada lecho construye en palma levantada sin temer apariencias de achacosa incendios lisonjea mariposa de inmortal su grandeza asegurada pues la fragante pira imaginada es fecunda a su ser cuna olorosa no receles o fenix alemana fatal desmayo en palido accidente rondale su sextina alegre ufana que de felipe prospero el oriente tu grandeza eterniza soberana y es gozo universal susto aparente,reina aves misteriosa afectos eterna desatada lecho construye palma levantada temer apariencias achacosa incendios lisonjea mariposa inmortal grandeza asegurada pues fragante pira imaginada fecunda ser cuna olorosa no receles fenix alemana fatal desmayo palido accidente rondale sextina alegre ufana felipe prospero oriente tu grandeza eterniza soberana gozo universal susto aparente
